name,manufacturer,mrpDecimal,productTierAttributes,salePriceDecimal,discountPercent
Everherb Karela Jamun Juice - Helps Maintains Healthy Sugar Levels -Helps In Weight Management - 1l,EVERHERB,399.00,Guaranteed Delivery,199.50,50
Everherb Diabetic Care Juice-13 Potent Herbs - Healthy Blood Sugar Management - 1 Litre Bottle,EVERHERB,599.00,Guaranteed Delivery,299.50,50
Everherb (By Pharmeasy) Aloe Vera Juice With Pulp - Rejuvenates Skin & Hair - 1 Litre Bottle,EVERHERB,399.00,Guaranteed Delivery,191.52,52
Pharmeasy Pill Box Organizer,PHARMEASY,499.00,Guaranteed Delivery,249.50,50
Liveasy Wellness Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 60 Tabs,LIVEASY,599.00,Guaranteed Delivery,449.25,25
Everherb (By Pharmeasy) Amla Juice-Rich In Vitamin C-Natural Immunity Booster - 1 Litre Bottle,EVERHERB,399.00,Guaranteed Delivery,195.51,51
Pharmeasy Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 60,PHARMEASY,499.00,Guaranteed Delivery,399.20,20
Liveasy Wellness Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 60,LIVEASY,699.00,Guaranteed Delivery,384.45,45
Everherb (By Pharmeasy) Pain Relief Oil - Blend Of 8 Powerful Herbal Ingredients - 100 Ml,EVERHERB,399.00,Guaranteed Delivery,191.52,52
Everherb (By Pharmeasy) Ashwagandha-Immunity Booster Capsules-Anxiety & Stress Relief-Bottle Of 60,EVERHERB,599.00,Guaranteed Delivery,299.50,50
Everherb Giloy Tulsi Juice - Strengthens Body Defence System - Natural Immunity Booster - 1 Litre,EVERHERB,399.00,Guaranteed Delivery,195.51,51
Everherb (By Pharmeasy) Flaxseed Omega 3 - Essential Fatty Acids - Healthy Heart - Bottle Of 60,EVERHERB,799.00,Guaranteed Delivery,383.52,52
Pharmeasy Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 60,PHARMEASY,699.00,Guaranteed Delivery,384.45,45
Liveasy Foods Healthy Roasted Seed Mix - Blend Of 6 Fibre Rich Healthy Roasted Seeds - 200 Gms,LIVEASY,399.00,Guaranteed Delivery,215.46,46
Liveasy Foods Healthy Seed Mix - Blend Of 6 Fibre Rich Healthy Seeds - 200 Gms,LIVEASY,349.00,Guaranteed Delivery,188.46,46
Everherb (By Pharmeasy) Shilajit 500mg-Vigour Improvement-Strength & Stamina For Men-Bottle Of 60,EVERHERB,999.00,Guaranteed Delivery,499.50,50
Liveasy Ortho Care Cool Eye Mask - Provides Relief To Stressed & Dry Eyes - Reduces Dark Circles,LIVEASY,120.00,Guaranteed Delivery,102.00,15
Liveasy Wellness Diabetic Protein - Blood Sugar & Weight Management -French Vanilla 400g Jar,LIVEASY,999.00,Guaranteed Delivery,519.48,48
Pharmeasy Hot Water Bag - Relieves Pain - Relaxes Sore Muscles - Improves Blood Supply - Blue - 2l,PHARMEASY,349.00,Guaranteed Delivery,226.85,35
Everherb Pharmeasy Moringa (Drum Stick) Immunity Booster Capsules Natural Multivitamin Bottle Of 60,EVERHERB,599.00,Guaranteed Delivery,269.55,55
Liveasy Wellness Pain Relief Balm 45gm,LIVEASY,115.00,Guaranteed Delivery,109.25,5
Liveasy Essentials Adhesive Bandages - Box Of 100,LIVEASY,199.00,Guaranteed Delivery,169.15,15
Liveasy Wellness Anti Fungal Dusting Powder 100gm,LIVEASY,90.00,Guaranteed Delivery,83.70,7
Everherb (By Pharmeasy) Karela - Blood Sugar Control - Lowers Bad Cholestrol - Bottle Of 60,EVERHERB,599.00,Guaranteed Delivery,311.48,48
Everherb (By Pharmeasy) Neem - Immunity Booster - Hair & Skin Detoxifier - Bottle Of 60,EVERHERB,599.00,Guaranteed Delivery,311.48,48
Everherb (By Pharmeasy) Ashwagandha-Immunity Booster Capsules-Anxiety & Stress Relief - Bottle Of 90,EVERHERB,799.00,Guaranteed Delivery,399.50,50
Liveasy Essentials Bamboo Cotton Buds - 80 Sticks/160 Swabs,LIVEASY,65.00,Guaranteed Delivery,61.75,5
Liveasy Essentials Tongue Cleaner (Pack Of 2),LIVEASY,99.00,Guaranteed Delivery,94.05,5
Liveasy Foods Roasted Peri Peri Makhana - Rich In Protein & Fibre - Assists Weight Loss - 100 Grams,LIVEASY,299.00,Guaranteed Delivery,161.46,46
Liveasy Wellness Pain Relief Gel Tube Of 30 G,LIVEASY,99.00,Guaranteed Delivery,94.05,5
Liveasy Essentials Cleansing Aloe Vera Refreshing Lime Facial Wipes 20'S,LIVEASY,69.00,Guaranteed Delivery,62.10,10
Everherb (By Pharmeasy) Men'S Formula-Blend Of Powerful Herb-Increase Sperm Count-Bottle Of 60,EVERHERB,999.00,Guaranteed Delivery,499.50,50
Pharmeasy Multivitamin Gummies For Kids And Adults Lemon & Strawberry Flavour Bottle Of 30 Gummies,PHARMEASY,499.00,Guaranteed Delivery,249.50,50
Liveasy Wellness Diabetic Protein Powder Chocolate Flavour 400g,LIVEASY,999.00,Guaranteed Delivery,519.48,48
Pharmeasy Orthopaedic Electric Heat Belt Regular,PHARMEASY,949.00,Guaranteed Delivery,569.40,40
Pharmeasy Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 120,PHARMEASY,899.00,Guaranteed Delivery,539.40,40
Pharmeasy Glutathione - Promotes Healthy Skin - Reverses Signs Of Ageing - Bottle Of 30,PHARMEASY,1399.00,Guaranteed Delivery,769.45,45
Pharmeasy Vitamin E - Helps Reverse Skin Ageing - Maintains Heart Eye & Brain Health - Bottle Of 60,PHARMEASY,699.00,Guaranteed Delivery,384.45,45
Everherb (By Pharmeasy) Diabetic Care - Blood Sugar Control - Bottle Of 60,EVERHERB,999.00,Guaranteed Delivery,519.48,48
Liveasy Essentials Nail Cutter,LIVEASY,115.00,Guaranteed Delivery,109.25,5
Everherb (By Pharmeasy) Amla - Immunity Booster Capsules - Natural Vitamin C - Bottle Of 60,EVERHERB,599.00,Guaranteed Delivery,251.58,58
Pharmeasy Lumbar Sacro Support Belt- Back Pain Relief And Sacral Support,PHARMEASY,799.00,Guaranteed Delivery,439.45,45
Pharmeasy Orthopaedic Electric Heat Belt - Extra Large,PHARMEASY,1099.00,Guaranteed Delivery,659.40,40
Pharmeasy Hot Water Bag - Relieves Pain - Relaxes Sore Muscles - Improves Blood Supply - Red - 2l,PHARMEASY,349.00,Guaranteed Delivery,226.85,35
Liveasy Wellness Diabetic Protein Powder French Vanilla Flavour 1000g,LIVEASY,2199.00,Guaranteed Delivery,1209.45,45
Liveasy Essentials Waterproof Bandages - Jar Of 100,LIVEASY,249.00,Guaranteed Delivery,236.55,5
